name,tot_req,tot_req[M],uniq_obj,%uniq_obj/tot_req,reads,writes,heads,copys,deletes,other,%reads/tot_req,%writes/tot_req,%heads/tot_req,%copys/tot_req,%delete/tot_req,%other/tot_req,get_once,%get_once/obj,write_only,%write_only/obj,head_no_reads,one_head_with_read,num_few_heads_with_reads,count_few_heads_with_reads,avg_head_get_time[ms],median_head_get_time[ms],avg_size,median_size,zero_size,size_up_1MB,size_1MB_10MB,size_10MB_100MB,size_100MB_1GB,size_1GB_10GB,size_above_10GB,per_obj_num_reads_eq_0,per_obj_num_reads_eq_1,per_obj_num_reads_2_10,per_obj_num_reads_10_100,per_obj_num_reads_100_1K,per_obj_num_reads_1K_10K,per_obj_num_reads_10K_100K,per_obj_num_reads_100K_1M,per_obj_num_reads_above_1M,per_get_time_diff_less_1sec,per_get_time_diff_1sec_1m,per_get_time_diff_1m_1h,per_get_time_diff_1h_24h,per_get_time_diff_above_24h,per_obj_avg_time_diff_less_1sec,per_obj_avg_time_diff_1sec_1m,per_obj_avg_time_diff_1m_1h,per_obj_avg_time_diff_1h_24h,per_obj_avg_time_diff_above_24h,per_obj_median_time_diff_less_1sec,per_obj_median_time_diff_1sec_1m,per_obj_median_time_diff_1m_1h,per_obj_median_time_diff_1h_24h,per_obj_median_time_diff_above_24h
IBMObjectStoreTrace032Part0,1494014,1.494014,37879,2.5353845412425855,834020,120137,451861,44748,43248,0,55.82410874329157,8.0412231746155,30.24476343595174,2.99515265586534,2.8947519902758607,0.0,1718,4.5354946012302335,1718,0.0,349175,8029,94657,17844,648675.9380435203,16660,2424.243879071748,510.0,6038,37545,31,0,0,0,0,19039,1718,3213,13426,483,0,0,0,0,208,330,2118,6585,7881,208,330,2118,6585,7881,208,343,3223,7082,6266
IBMObjectStoreTrace033Part0,1014476,1.014476,10047,0.9903634980029099,104529,165829,631687,65661,46770,0,10.30374301609895,16.346271375567287,62.26731830028507,6.472405458581573,4.610261849467114,0.0,115,1.144620284662088,115,0.0,433637,1694,196356,22352,3260812.19537553,745.5,2012.2442878711627,669,298,9931,4,0,0,0,0,490,115,8707,592,143,0,0,0,0,13,49,0,33,9347,13,49,0,33,9347,13,49,0,44,9336
IBMObjectStoreTrace034Part0,19383990,19.38399,2138508,11.032341638640961,12809080,2008371,4525572,25635,15332,0,66.08071919145645,10.360978312514606,23.34695797923957,0.1322483142015653,0.07909620258780571,0.0,448713,20.982526135043685,448713,6.238414820052111,42626,3711658,771288,369978,709.6753392512218,5.0,854774.1020866852,7293.0,35130,2022733,67893,29693,2848,9,0,196435,448713,1226795,261713,4622,224,6,0,0,757993,255488,405882,58652,15345,757993,255488,405882,58652,15345,781652,266149,368282,57019,20258
IBMObjectStoreTrace035Part0,210006,0.210006,168,0.07999771435101855,209619,387,0,0,0,0,99.81571955086997,0.18428044913002484,0.0,0.0,0.0,0.0,0,0.0,0,1.7857142857142856,0,0,0,0,0,0,31041.678571428572,9860.0,0,168,0,0,0,0,0,9,0,1,63,50,45,0,0,0,0,0,0,1,158,0,0,0,1,158,0,0,0,1,158
IBMObjectStoreTrace036Part0,31936385,31.936384999999998,1364680,4.273119828684431,30336519,1599866,0,0,0,0,94.99045994091065,5.009540059089343,0.0,0.0,0.0,0.0,415,0.03041005950112847,415,0.09467420933845297,0,0,0,0,0,0,34258.922322449216,4789.0,0,1364556,121,3,0,0,0,1292,415,135638,1223841,3483,11,0,0,0,107384,619164,260023,51652,324750,107384,619164,260023,51652,324750,929014,83356,10946,14854,324803
IBMObjectStoreTrace037Part0,228656,0.228656,7,0.003061367294101183,228656,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,20365.85714285714,1908,0,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7
IBMObjectStoreTrace038Part0,1801967,1.801967,7079,0.3928484816869565,1794880,1439,5648,0,0,0,99.60670755901745,0.07985717829460806,0.3134352626879405,0.0,0.0,0.0,385,5.43862127419127,385,20.299477327306118,0,5648,0,0,363.53665014164307,201.0,25090938.296793334,5630492,0,1755,2602,2598,124,0,0,1437,385,1078,1966,1810,390,13,0,0,2436,2767,53,0,1,2436,2767,53,0,1,2466,2736,54,0,1
IBMObjectStoreTrace039Part0,216466,0.21646600000000002,2862,1.3221475889978103,216213,204,0,0,49,0,99.88312252270565,0.09424112793695084,0.0,0.0,0.02263634935740486,0.0,237,8.280922431865829,237,0.1397624039133473,0,0,0,0,0,0,43055.880111849,37818,0,2861,0,0,0,0,0,5,237,784,1420,411,4,1,0,0,1,233,449,519,1418,1,233,449,519,1418,1,274,554,542,1249
IBMObjectStoreTrace040Part0,439434,0.43943400000000005,2,0.00045513091840868026,439434,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,33043.0,33043.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2
IBMObjectStoreTrace041Part0,3945798,3.945798,281813,7.142104081354393,246981,22583,3676165,0,69,0,6.259342216707495,0.5723303625781148,93.1665787250133,0.0,0.0017486957010977248,0.0,5068,1.7983556471844804,5068,1.8909702533240127,2608467,142321,925377,102276,142.20626172847582,12,17159246.015872,9576118.0,362,32756,121936,126543,519,0,0,256931,5068,2651,17163,0,0,0,0,0,0,346,1626,16954,888,0,346,1626,16954,888,0,493,14379,4044,898
