Vendor,Region,Name,Group,Tier,StartingRange,EndingRange,Unit,PricePerUnit
azure,swedensouth,Blob Storage,get request,Cool,0.0,inf,requests,1.2999999999999998e-06
azure,brazilsouth,Blob Storage,get request,Hot,0.0,inf,requests,5.6e-07
azure,westus2,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.01
azure,uaenorth,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.198
azure,southindia,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.021896
azure,southindia,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.0238
azure,southindia,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.022848
azure,southindia,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.015
azure,jioindiacentral,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.0184
azure,jioindiacentral,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.0192
azure,jioindiacentral,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.02
azure,japaneast,Blob Storage,put request,Hot,0.0,inf,requests,5e-06
azure,switzerlandnorth,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.02156
azure,switzerlandnorth,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.020734
azure,switzerlandnorth,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.019817
azure,norwaywest,Block Blob,get request,Premium,0.0,inf,requests,2.6e-07
azure,germanynorth,Block Blob v2,get request,Premium,0.0,inf,requests,2.4199999999999997e-07
azure,attdallas1,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,qatarcentral,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.0184
azure,qatarcentral,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.02
azure,qatarcentral,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.0192
azure,westeurope,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.195
azure,koreasouth,Blob Storage,get request,Hot,0.0,inf,requests,4e-07
azure,switzerlandnorth,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.00275
azure,norwaywest,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.0269
azure,norwaywest,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.0258
azure,norwaywest,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.028
azure,uaenorth,Block Blob v2,put request,Premium,0.0,inf,requests,3e-06
azure,australiasoutheast,Block Blob,get request,Premium,0.0,inf,requests,2.03e-07
azure,brazilsouth,Block Blob,put request,Premium,0.0,inf,requests,3.5000000000000004e-06
azure,usgovvirginia,Blob Storage,get request,Hot,0.0,inf,requests,4e-07
azure,jioindiawest,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,northeurope,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.18
azure,attdallas1,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.18
azure,ukwest,Block Blob v2,get request,Premium,0.0,inf,requests,2.28e-07
azure,brazilsoutheast,Blob Storage,get request,Cool,0.0,inf,requests,1.2999999999999998e-06
azure,brazilsouth,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.0326
azure,brazilsouth,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.03032
azure,brazilsouth,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.03146
azure,ukwest,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.017664
azure,ukwest,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.0192
azure,ukwest,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.018432
azure,usgovvirginia,Block Blob,get request,Premium,0.0,inf,requests,1.75e-07
azure,westindia,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,koreacentral,Block Blob v2,put request,Premium,0.0,inf,requests,3.0700000000000003e-06
azure,brazilsoutheast,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.02704
azure,uaecentral,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.024608
azure,uaecentral,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.023442
azure,uaecentral,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.02548
azure,ukwest,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.011
azure,australiaeast,Blob Storage,put request,Hot,0.0,inf,requests,5.5e-06
azure,canadacentral,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,canadacentral,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.011
azure,canadacentral,Block Blob,put request,Premium,0.0,inf,requests,2.1000000000000002e-06
azure,Global,Blob Storage,put request,Hot,0.0,inf,requests,0.0
azure,attdallas1,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.0184
azure,southcentralus,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.016928
azure,southcentralus,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.0184
azure,southcentralus,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.017664
azure,brazilsoutheast,Block Blob,put request,Premium,0.0,inf,requests,4.55e-06
azure,brazilsoutheast,Block Blob v2,get request,Premium,0.0,inf,requests,4.7149999999999995e-07
azure,attatlanta1,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,southindia,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.225
azure,southafricanorth,Block Blob,put request,Premium,0.0,inf,requests,2.555e-06
azure,swedensouth,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.2535
azure,ukwest,Blob Storage,get request,Hot,0.0,inf,requests,4.7e-07
azure,uksouth,Block Blob v2,get request,Premium,0.0,inf,requests,2.28e-07
azure,swedencentral,Block Blob v2,get request,Premium,0.0,inf,requests,2.3700000000000002e-07
azure,southafricawest,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0042
azure,usgovvirginia,Blob Storage,put request,Hot,0.0,inf,requests,5e-06
azure,australiasoutheast,Block Blob,put request,Premium,0.0,inf,requests,2.54e-06
azure,centralindia,Blob Storage,put request,Hot,0.0,inf,requests,5.5e-06
azure,brazilsoutheast,Blob Storage,put request,Cool,0.0,inf,requests,1.3000000000000001e-05
azure,uaecentral,Blob Storage,put request,Hot,0.0,inf,requests,7.02e-06
azure,canadaeast,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,norwaywest,Blob Storage,put request,Cool,0.0,inf,requests,1.4299999999999999e-05
azure,eastus,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,westus2,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,uksouth,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0028
azure,norwayeast,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.011
azure,norwaywest,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.279
azure,eastus2,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.15
azure,southafricawest,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.0263
azure,southafricawest,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.0252
azure,southafricawest,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.0274
azure,koreacentral,Blob Storage,put request,Hot,0.0,inf,requests,5e-06
azure,koreasouth,Block Blob,put request,Premium,0.0,inf,requests,2.36e-06
azure,uaenorth,Blob Storage,get request,Hot,0.0,inf,requests,4.8e-07
azure,westus2,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.15
azure,uaecentral,Block Blob v2,put request,Premium,0.0,inf,requests,3.82e-06
azure,jioindiawest,Blob Storage,get request,Hot,0.0,inf,requests,4.4e-07
azure,australiasoutheast,Blob Storage,put request,Hot,0.0,inf,requests,5.5e-06
azure,jioindiawest,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,usgovarizona,Block Blob,put request,Premium,0.0,inf,requests,2.1899999999999998e-06
azure,eastus2,Blob Storage,get request,Hot,0.0,inf,requests,4e-07
azure,uksouth,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.011
azure,centralindia,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,ukwest,Blob Storage,put request,Hot,0.0,inf,requests,5.899999999999999e-06
azure,germanynorth,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.00325
azure,southcentralus,Block Blob v2,put request,Premium,0.0,inf,requests,2.73e-06
azure,centralus,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.01
azure,northeurope,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.02112
azure,northeurope,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.022
azure,northeurope,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.02024
azure,usgovvirginia,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.0296
azure,usgovvirginia,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.028416
azure,usgovvirginia,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.027232
azure,southafricawest,Block Blob,put request,Premium,0.0,inf,requests,3.32e-06
azure,uaecentral,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.252
azure,southafricawest,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.0149
azure,eastus,Blob Storage,get request,Hot,0.0,inf,requests,4e-07
azure,westus,Block Blob v2,put request,Premium,0.0,inf,requests,2.96e-06
azure,brazilsoutheast,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.013
azure,norwayeast,Block Blob,get request,Premium,0.0,inf,requests,2e-07
azure,australiacentral,Blob Storage,storage,Hot,51200.0,inf,1 GB/Month,0.0192
azure,australiacentral,Blob Storage,storage,Hot,512000.0,inf,1 GB/Month,0.0184
azure,australiacentral,Blob Storage,storage,Hot,0.0,inf,1 GB/Month,0.02
azure,canadaeast,Block Blob,storage,Premium,0.0,inf,1 GB/Month,0.18
azure,westeurope,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.195
azure,westeurope,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,uaenorth,Blob Storage,get request,Cool,0.0,inf,requests,1.2e-06
azure,southcentralus,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,westus,Block Blob,get request,Premium,0.0,inf,requests,1.82e-07
azure,brazilsouth,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.0025
azure,uaecentral,Blob Storage,put transfer,Cool,0.0,inf,1 GB,0.00325
azure,usgovvirginia,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,ukwest,Block Blob,put request,Premium,0.0,inf,requests,2.1899999999999998e-06
azure,eastus2,Block Blob,put request,Premium,0.0,inf,requests,1.7500000000000002e-06
azure,eastus2,Blob Storage,put request,Cool,0.0,inf,requests,1e-05
azure,norwaywest,Blob Storage,get request,Hot,0.0,inf,requests,6.15e-07
azure,uaenorth,Blob Storage,put request,Cool,0.0,inf,requests,1.2e-05
azure,australiasoutheast,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,australiacentral2,Blob Storage,storage,Cool,0.0,inf,1 GB/Month,0.015
azure,centralus,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,centralus,Block Blob v2,storage,Premium,0.0,inf,1 GB/Month,0.18
azure,usgovtexas,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
azure,australiaeast,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,swedencentral,Blob Storage,get transfer,Cool,0.0,inf,1 GB,0.01
azure,southafricawest,Blob Storage,put request,Hot,0.0,inf,requests,7.499999999999999e-06
azure,francecentral,Blob Storage,put request,Hot,0.0,inf,requests,5.899999999999999e-06
azure,attdallas1,Block Blob,put request,Premium,0.0,inf,requests,2.1000000000000002e-06
azure,southindia,Block Blob v2,put request,Premium,0.0,inf,requests,3.4200000000000003e-06
azure,eastus2,Blob Storage,get request,Cool,0.0,inf,requests,1e-06
